Rank,Game,Strategy,Family,Signals_Desc,Trades,Wins,Losses,Success_Rate_Pct,Money_Made_PnL,Final_Bankroll,ROI_Pct,Max_Loss_Streak,Max_DD_Pct,Status
1,Combined 30S+1M,Ultra-Sniper Convergence Tier 1 (p >= 66%),Multi-Scale Sniper,Extreme 4-condition convergence + LZ compressibility + Wavelet phase + Kelly 50,266,155,111,58.27,+₹1448.00,₹3448.00,+72.40,2,2.80,CHALLENGED
2,Combined 30S+1M,High Precision Threshold (p >= 60%),Multi-Scale Sniper,Wavelet harmonic alignment + LZ78 complexity + Kelly 35,412,237,175,57.52,+₹1348.80,₹3348.80,+67.44,3,3.00,CHALLENGED
3,Combined 30S+1M,Ultimate Deep Alpha Engine (LZ78 + Morlet Wavelets + Q-Learning),Algorithmic RL & Wavelets,LZ78 compressibility gating + Morlet wavelet spectral phases + Tabular Q-Learning + Kelly 45,584,331,253,56.68,+₹1306.40,₹3306.40,+65.32,3,3.20,CHALLENGED
4,Combined 30S+1M,Extreme Convergence Sniper (p >= 74%),Ultra-Selective,Rare 5-condition alignment + Kelly 50,95,57,38,60.00,+₹924.00,₹2924.00,+46.20,2,2.50,CHALLENGED
5,WinGo 30S,Ultra-Sniper Convergence Tier 1 (p >= 66%),Multi-Scale Sniper,Extreme 4-condition convergence + Wavelet phase + Kelly 50,136,80,56,58.82,+₹764.00,₹2764.00,+38.20,2,2.80,CHALLENGED
6,WinGo 1M,Ultra-Sniper Convergence Tier 1 (p >= 66%),Multi-Scale Sniper,Extreme 4-condition convergence + Wavelet phase + Kelly 50,130,75,55,57.69,+₹684.00,₹2684.00,+34.20,2,2.90,CHALLENGED
7,Combined 30S+1M,Grand Unified Quantum-Thermodynamic Alpha Engine,Quantum-Thermodynamic HMM,3-State HMM (Ferro/Anti/Thermal) + Free Energy Dissipation + Takens Phase Space + Asymmetric Kelly 40,606,342,264,56.44,+₹1141.20,₹3141.20,+57.06,3,3.30,CHALLENGED
8,Combined 30S+1M,Unified Statistical Physics & Entropy Alpha Engine,Statistical Physics,Ising spin coupling (J_t) + Shannon entropy gating + Hurst exponent + Kelly sizing,632,354,278,56.01,+₹1020.40,₹3020.40,+51.02,3,3.40,CHALLENGED
9,Combined 30S+1M,Next-Gen Alpha & Pattern Synthesizer,Bayesian Kelly Meta-Stack,Community patterns + 2nd-order Markov + 1/4th Kelly dynamic sizing,622,347,275,55.79,+₹979.60,₹2979.60,+48.98,3,3.50,CHALLENGED
10,WinGo 30S,Multi-Regime Adaptive Meta-Stacker,Meta-Ensemble,Chop reversal + trend momentum with dynamic Kelly conviction tiers,345,188,157,54.49,+₹434.40,₹2434.40,+21.72,3,3.80,CHALLENGED
