Game,Strategy,Family,Test_Acc,WF_Mean_Acc,Max_Loss_Streak,Max_DD_Pct,Decision_Reason,What_Was_Learned
WinGo 30S,Previous Continuation (Dragon),Baseline,50.00,50.40,6,6.80,Out-of-sample test accuracy <= 50.0% breakeven baseline,Consecutive runs are independent Bernoulli trials; dragon following carries no positive expectation.
WinGo 30S,Momentum Last 3,Momentum,50.00,50.20,6,7.10,Out-of-sample test accuracy <= 50.0% breakeven baseline,Short-term momentum fails out-of-sample as lottery draws have no memory.
WinGo 1M,Momentum Last 5,Momentum,48.96,49.50,7,8.20,Out-of-sample test accuracy (48.96%) < 50.0% breakeven baseline,Lagged momentum suffers from phase lag during mean-reverting turns.
WinGo 30S,Imbalance Reversal 10,Mean Reversion,50.00,50.10,6,6.90,Out-of-sample test accuracy <= 50.0% breakeven baseline,Short sample imbalances do not imply immediate mean reversion in memoryless games.
WinGo 30S,Issue Digit Sum Mod 2,Period Structure,50.00,49.80,7,7.80,Out-of-sample test accuracy <= 50.0% breakeven baseline,Issue number formulas have zero causal relation to lottery RNG draw results.
WinGo 1M,Random 50/50,Baseline,48.96,49.70,7,8.00,Out-of-sample test accuracy < 50.0% breakeven baseline,Random guessing incurs pure house edge (-2.0%) decay.
WinGo 30S,Color State Mapping,Color Features,49.00,49.40,7,8.40,Out-of-sample test accuracy < 50.0% breakeven baseline,Color is a deterministic mapping of the number and adds no independent mutual information.
WinGo 1M,Markov Chain 3rd Order,Transition Models,48.96,49.10,8,9.40,High-order state space fragmentation leads to out-of-sample degradation,Higher-order Markov states suffer from severe sample sparsity and overfit noise.
WinGo 30S,Number Delta Velocity,Number-Conditioned,49.00,49.20,7,8.60,Out-of-sample test accuracy < 50.0% breakeven baseline,Velocity delta between random digits has zero autocorrelation.
WinGo 1M,Boosted Decision Stump Ensemble,Machine Learning,50.00,50.30,6,7.20,Out-of-sample test accuracy <= 50.0% breakeven baseline,Ensembling weak predictors on pure noise cannot extract non-existent signal.
WinGo 30S,Always Big,Baseline,51.00,51.20,5,5.20,Below 80% Survival Target (Edge within Bernoulli noise band),Slight class imbalance in sample is within 1-sigma normal variance.
WinGo 1M,Always Small,Baseline,53.12,52.70,5,5.10,Below 80% Survival Target (Edge within Bernoulli noise band),Temporary small-heavy regime does not maintain statistical significance (p=0.61).
WinGo 30S,Volatility-Gated Streak Reversal,Adapted Hybrid,52.00,51.80,5,5.20,Below 80% Survival Target (Edge within Bernoulli noise band),Regime-gated streak reversal shows mild local stability but cannot breach fundamental entropy limits.
WinGo 30S,Composite Multi-Signal Ensemble,Ensemble,52.00,51.60,5,5.40,Below 80% Survival Target (Edge within Bernoulli noise band),Combining non-correlated signals reduces variance but remains bounded near 50%.
WinGo 1M,Reverse After Streak 3,Mean Reversion,52.08,51.40,5,5.60,Below 80% Survival Target (Edge within Bernoulli noise band),Reversal after 3 identical states captures mild short-term mean-reverting phases.
WinGo 30S,Online Logistic Classifier,Machine Learning,51.00,50.90,6,6.20,Below 80% Survival Target (Edge within Bernoulli noise band),Regularized gradient updates prevent catastrophic overfitting but find zero non-linear signal.
WinGo 1M,Streak Volatility Regime Filter,Regime Adaptive,51.04,50.80,5,5.80,Below 80% Survival Target (Edge within Bernoulli noise band),Switching between dragon follow and anti-dragon stabilizes drawdowns during chop.
WinGo 30S,Markov Chain 2nd Order,Transition Models,51.00,50.60,6,6.40,Below 80% Survival Target (Edge within Bernoulli noise band),2nd order transitions show zero statistical edge above binomial chance.
WinGo 1M,Number Parity Mirror,Number-Conditioned,51.04,50.50,6,6.50,Below 80% Survival Target (Edge within Bernoulli noise band),Odd/even parity distribution is strictly independent from high/low division.
WinGo 1M,Previous Reversal (Anti-Dragon),Baseline,51.04,50.10,6,6.60,Below 80% Survival Target (Edge within Bernoulli noise band),Anti-dragon alternation tracks noise within normal variance band.
